Variable.Name	Variable.Description
MCQ240K	How old (were you/was SP) when larynx or windpipe cancer was first diagnosed?
MCQ240L	How old (were you/was SP) when leukemia was first diagnosed?
MCQ240M	How old (were you/was SP) when liver cancer was first diagnosed?
MCQ240N	How old (were you/was SP) when lung cancer was first diagnosed?
MCQ240O	How old (were you/was SP) when lymphoma or Hodgkin's Disease was first diagnosed?
MCQ240P	How old (were you/was SP) when melanoma was first diagnosed?
MCQ240Q	How old (were you/was SP) when mouth, tongue, or lip cancer was first diagnosed?
MCQ240R	How old (were you/was SP) when cancer of the nervous system was first diagnosed?
MCQ240S	How old (were you/was SP) when ovarian cancer was first diagnosed?
MCQ240T	How old (were you/was SP) when pancreatic cancer was first diagnosed?
MCQ240U	How old (were you/was SP) when prostate cancer was first diagnosed?
MCQ240V	How old (were you/was SP) when rectal cancer was first diagnosed?
MCQ240W	How old (were you/was SP) when non-melanoma skin cancer was first diagnosed?
MCQ240X	How old (were you/was SP) when the unknown kind of skin cancer was first diagnosed?
MCQ240Y	How old (were you/was SP) when soft tissue (muscle or fat) cancer was first diagnosed?
MCQ240Z	How old (were you/was SP) when stomach cancer was first diagnosed?
MCQ245A	During the past 12 months, that is since {DISPLAY CURRENT MONTH} of last year, about how many days did {you/SP} miss work at a j
MCQ245B	During the past 12 months, that is since {DISPLAY CURRENT MONTH} of last year, about how many days did {you/SP} miss work at a j
MCQ250A	Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, bro
MCQ250B	Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, bro
MCQ250C	Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, bro
MCQ250E	Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, bro
MCQ250F	Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, bro
MCQ250G	Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, bro
MCQ260AA	Which biological [blood] family member?
MCQ260AB	Which biological [blood] family member?
MCQ260AC	Which biological [blood] family member?
MCQ260AD	Which biological [blood] family member?
MCQ260AE	Which biological [blood] family member?
MCQ260AF	Which biological [blood] family member?
MCQ260AG	Which biological [blood] family member?
MCQ260AH	Which biological [blood] family member?
MCQ260AI	Which biological [blood] family member?
MCQ260BA	Which biological [blood] family member?
MCQ260BB	Which biological [blood] family member?
MCQ260BC	Which biological [blood] family member?
MCQ260BD	Which biological [blood] family member?
MCQ260BE	Which biological [blood] family member?
MCQ260BF	Which biological [blood] family member?
MCQ260BG	Which biological [blood] family member?
MCQ260BH	Which biological [blood] family member?
MCQ260BI	Which biological [blood] family member?
MCQ260CA	Which biological [blood] family member?
MCQ260CB	Which biological [blood] family member?
MCQ260CC	Which biological [blood] family member?
MCQ260CD	Which biological [blood] family member?
MCQ260CE	Which biological [blood] family member?
MCQ260CF	Which biological [blood] family member?
MCQ260CG	Which biological [blood] family member?
MCQ260CH	Which biological [blood] family member?
MCQ260CI	Which biological [blood] family member?
MCQ260EA	Which biological [blood] family member?
MCQ260EB	Which biological [blood] family member?
MCQ260EC	Which biological [blood] family member?
MCQ260ED	Which biological [blood] family member?
MCQ260EE	Which biological [blood] family member?
MCQ260EF	Which biological [blood] family member?
MCQ260EG	Which biological [blood] family member?
MCQ260EH	Which biological [blood] family member?
MCQ260EI	Which biological [blood] family member?
MCQ260FA	Which biological [blood] family member?
MCQ260FB	Which biological [blood] family member?
MCQ260FC	Which biological [blood] family member?
MCQ260FD	Which biological [blood] family member?
MCQ260FE	Which biological [blood] family member?
MCQ260FF	Which biological [blood] family member?
MCQ260FG	Which biological [blood] family member?
MCQ260FH	Which biological [blood] family member?
MCQ260FI	Which biological [blood] family member?
MCQ260GA	Which biological [blood] family member?
MCQ260GB	Which biological [blood] family member?
MCQ260GC	Which biological [blood] family member?
MCQ260GD	Which biological [blood] family member?
MCQ260GE	Which biological [blood] family member?
MCQ260GF	Which biological [blood] family member?
MCQ260GG	Which biological [blood] family member?
MCQ260GH	Which biological [blood] family member?
MCQ260GI	Which biological [blood] family member?
MCQ265	Including living and deceased, were any of (SP's/your) biological that is, blood relatives including grandparents, brothers, eve
MCQ267A	Which biological blood family member?
MCQ267B	Which biological blood family member?
MCQ267C	Which biological blood family member?
MCQ267D	Which biological blood family member?
MCQ267E	Which biological blood family member?
MCQ270	Did {your/SP's} biological mother ever fracture her hip?
MCQ280	About how old was she when she fractured her hip (the first time)?
MCQ290	Was she. . . .
SEQN	Respondent sequence number.
