Variable.Name	Variable.Description
OHX10SE	Dental Sealants:  Upper left lateral incisor (LI) sealant codes.
These values can be recorded as a string variable, for example	
OHX10TC	Tooth Count:  Upper left lateral incisor (LI)
OHX11CSC	"Coronal Caries:  Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """
OHX11CTC	Coronal Caries:  Upper left cuspid (C) tooth code
OHX11TC	Tooth Count:  Upper left cuspid (C)
OHX12CSC	Coronal Caries:  Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable,
OHX12CTC	Coronal Caries:  Upper left 1st bicuspid/1st primary molar (1B) tooth code
OHX12SE	Dental Sealants:  Upper left 1st biscuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string varia	
OHX12TC	Tooth Count:  Upper left 1st bicuspid/1st primary molar (1B)
OHX13CSC	Coronal Caries:  Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable,
OHX13CTC	Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) tooth code
OHX13SE	Dental Sealants:  Upper left 2nd bicuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string variab	
OHX13TC	Tooth Count:  Upper left 2nd bicuspid/2nd primary molar (2B)
OHX14CSC	"Coronal Caries:  Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"
OHX14CTC	Coronal Caries:  Upper left 1st molar (1M) tooth code
OHX14SE	Dental Sealants:  Upper left 1st molar (1M) sealant codes.
"These values can be recorded as a string variable, for example:""0"", "	
OHX14TC	Tooth Count:  Upper left 1st molar (1M)
OHX15CSC	"Coronal Caries:  Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"
OHX15CTC	Coronal Caries: Upper left 2nd molar (2M) tooth code
OHX15SE	Dental Sealants:  Upper left 2nd molar (2M) sealant codes.
"These values can be recorded as a string variable, for example:""0"", "	
OHX15TC	Tooth Count:  Upper left 2nd molar (2M)
OHX16TC	Tooth Count:  Upper left 3rd molar (3M)
OHX17TC	Tooth Count:  Lower left 3rd molar (3M)
OHX18CSC	"Coronal Caries:  Lower left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"
OHX18CTC	Coronal Caries:  Lower left 2nd molar (2M) tooth code
OHX18SE	Dental Sealants:  Lower left 2nd molar (2M) sealant codes.
"These values can be recorded as a string variable, for example:""0"", "	
OHX18TC	Tooth Count:  Lower left 2nd molar (2M)
OHX19CSC	"Coronal Caries:  Lower left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"
OHX19CTC	Coronal Caries:  Lower left 1st molar (1M) tooth code
OHX19SE	Dental Sealants:  Lower left 1st molar (1M) sealant codes.
"These values can be recorded as a string variable, for example:""0"", "	
OHX19TC	Tooth Count:  Lower left 1st molar (1M)
OHX20CSC	Coronal Caries:  Lower left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable,
OHX20CTC	Coronal Caries:  Lower left 2nd bicuspid/2nd primary molar (2B) tooth code
OHX20SE	Dental Sealants:  Lower left 2nd bicuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string variab	
OHX20TC	Tooth Count:  Lower left 2nd bicuspid/2nd primary molar (2B)
OHX21CSC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable,
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string variab	
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code
OHX22TC	Tooth Count:  Lower left cuspid (C)
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code
OHX24TC	Tooth Count:  Lower left central incisor (CI)
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code
OHX25TC	Tooth Count:  Lower right central incisor (CI)
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code
OHX27TC	Tooth Count:  Lower right cuspid (C)
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string varia	
OHX28TC	Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B)
OHX29CSC	Coronal Caries:  Lower right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable
OHX29CTC	Coronal Caries:  Lower right 2nd bicuspid/2nd primary molar (2B) tooth code
OHX29SE	Dental Sealants:  Lower right 2nd bicuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string varia	
OHX29TC	Tooth Count:  Lower right 2nd bicuspid/2nd primary molar (2B)
OHX30CSC	"Coronal Caries:  Lower right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"
OHX30CTC	Coronal Caries:  Lower right 1st molar (1M) tooth code
OHX30SE	Dental Sealants:  Lower right 1st molar (1M) sealant codes.
"These values can be recorded as a string variable, for example:""0"","	
OHX30TC	Tooth Count:  Lower right 1st molar (1M)
OHX31CSC	"Coronal Caries:  Lower right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"
OHX31CTC	Coronal Caries:  Lower right 2nd molar (2M) tooth code
OHX31SE	Dental Sealants:  Lower right 2nd molar (2M) sealant codes.
"These values can be recorded as a string variable, for example:""0"","	
OHX31TC	Tooth Count:  Lower right 2nd molar (2M)
OHX32TC	Tooth Count:  Lower right 3rd molar (3M)
OHXIMP	Tooth Count:  Ever had a tooth replaced with a surgical implant?
SEQN	Respondent sequence number.
RXDCOUNT	The number of prescription medicines reported
RXDDAYS	For how long have you been using or taking {PRODUCT NAME}?
RXDDRGID	Generic drug code
RXDDRUG	Generic drug name
RXDUSE	In the past 30 days, have you used or taken medication for which a prescription is needed?  Do not include prescription vitamins
RXQSEEN	Was prescription container seen by interviewer?
SEQN	Respondent sequence number.
CFALANG	Language - Cognitive Functioning
CFASTAT	Cognitive functioning status
CFDAPP	Animal Fluency: Sample Practice Pretest
CFDARNC	Animal Fluency: Reason Not Done
CFDAST	Animal Fluency: Score Total
CFDCCS	CERAD: Number of recalls completed
CFDCIR	CERAD: Intrusion word count Recall
CFDCIT1	CERAD: Intrusion word count Trial 1
CFDCIT2	CERAD: Intrusion word count Trial 2
CFDCIT3	CERAD: Intrusion word count Trial 3
CFDCRNC	CERAD: Reason Not Complete
CFDCSR	CERAD: Score Delayed Recall
CFDCST1	CERAD: Score Trial 1 Recall
CFDCST2	CERAD: Score Trial 2 Recall
CFDCST3	CERAD: Score Trial 3 Recall
CFDDPP	Digit Symbol Coding: Sample Practice Pretest
CFDDRNC	Digit Symbol Coding: Reason Not Done
CFDDS	Digit Symbol Coding: Score
SEQN	Respondent sequence number
AIALANGA	Language of the MEC ACASI Interview Instrument
DMDBORN4	In what country {were you/was SP} born?
DMDCITZN	{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv
DMDEDUC2	What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDEDUC3	What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDFMSIZ	Total number of people in the Family
DMDHHSIZ	Total number of people in the Household
DMDHHSZA	Number of children aged 5 years or younger in the household
DMDHHSZB	Number of children aged 6-17 years old in the household
DMDHHSZE	Number of adults aged 60 years or older in the household
DMDHRAGE	HH reference person's age in years
DMDHRBR4	HH reference person's country of birth
DMDHREDU	HH reference person's education level
DMDHRGND	HH reference person's gender
DMDHRMAR	HH reference person's marital status
DMDHSEDU	HH reference person's spouse's education level
DMDMARTL	Marital status
DMDYRSUS	Length of time the participant has been in the US.
DMQADFC	Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (Thi
DMQMILIZ	{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does n
FIAINTRP	Was an interpreter used to conduct the Family interview?
FIALANG	Language of the Family Interview Instrument
FIAPROXY	Was a Proxy respondent used in conducting the Family Interview?
INDFMIN2	Total family income (reported as a range value in dollars)
INDFMPIR	A ratio of family income to poverty guidelines.
INDHHIN2	Total household income (reported as a range value in dollars)
MIAINTRP	Was an interpreter used to conduct the MEC CAPI interview?
MIALANG	Language of the MEC CAPI Interview Instrument
MIAPROXY	Was a Proxy respondent used in conducting the MEC CAPI Interview?
RIAGENDR	Gender of the participant.
RIDAGEMN	Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (o
RIDAGEYR	Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
RIDEXAGM	Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examin
RIDEXAGY	Age in years of the participant at the time of examination. Reported for persons aged 2-19 years at the time of screening.
RIDEXMON	Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31
RIDEXPRG	Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
RIDRETH1	Recode of reported race and Hispanic origin information
RIDRETH3	Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category
RIDSTATR	Interview and examination status of the participant.
SDDSRVYR	Data release cycle
SDMVPSU	Masked variance unit pseudo-PSU variable for variance estimation
SDMVSTRA	Masked variance unit pseudo-stratum variable for variance estimation
SEQN	Respondent sequence number.
SIAINTRP	Was an interpreter used to conduct the Sample Person (SP) interview?
SIALANG	Language of the Sample Person Interview Instrument
SIAPROXY	Was a Proxy respondent used in conducting the Sample Person (SP) interview?
WTINT2YR	Interviewed participants.
WTMEC2YR	Both interviewed and MEC examined participants.
SEQN	Respondent sequence number.
SMAQUEX2	Questionnaire Mode Flag
SMD030	How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?
SMD055	How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?
SMD057	At that time, about how many cigarettes did {you/SP} usually smoke per day?
SMD093	May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.
SMD100BR	BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE)
SMD100CO	CIGARETTE CARBON MONOXIDE CONTENT
SMD100FL	CIGARETTE PRODUCT FILTERED OR NON-FILTERED
SMD100LN	CIGARETTE PRODUCT LENGTH
SMD100MN	CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED
SMD100NI	CIGARETTE NICOTINE CONTENT
SMD100TR	CIGARETTE TAR CONTENT
SMD630	How old were you when you smoked a whole cigarette for the first time?
SMD641	On how many of the past 30 days did {you/SP} smoke a cigarette?
SMD650	During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?
SMDUPCA	Cigarette 12-digit Universal Product Code (UPC)
SMQ020	These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {you
SMQ040	{Do you/Does SP} now smoke cigarettes . .
SMQ050Q	How long has it been since {you/SP} quit smoking cigarettes?
SMQ050U	UNIT OF MEASURE
SMQ077	How soon after you wake up do you smoke? Would you say...
SMQ621	The following questions are about cigarette smoking and other tobacco use.  Do not include cigars or marijuana.  About how many 
SMQ660	During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?
SMQ664B	{Were/Was} the Benson and Hedges cigarettes menthol or non-menthol?
SMQ664C	{Were/Was} the Camel cigarettes menthol or non-menthol?
SMQ664M	{Were/Was} the Marlboro cigarettes menthol or non-menthol?
SMQ664O	{Were/Was} the other brand cigarettes menthol or non-menthol?
SMQ664W	{Were/Was} the Winston cigarettes menthol or non-menthol?
SMQ670	During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?
OHDEXCLU	Excluded from perio exam for med reasons
OHDEXSTS	Overall Oral Health Exam Status
OHDPDSTS	Periodontal Status Code
OHX02CJA	Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)
OHX02CJD	Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to CEJ measurement (mm)
OHX02CJL	Loss of Attachment: Upper right 2nd molar (2M) mid - lingual - FGM to CEJ measurement (mm)
OHX02CJM	Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)
OHX02CJP	Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)
OHX02CJS	Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)
OHX02LAA	Loss of Attachment:  Upper right 2nd molar (2M) mesio- lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX02LAD	Loss of Attachment:  Upper right 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur
OHX02LAL	Loss of Attachment:  Upper right 2nd molar (2M) mid- lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base 
OHX02LAM	Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base me
OHX02LAP	Loss of Attachment:  Upper right 2nd molar (2M) distal lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX02LAS	Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base 
OHX02PCA	Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX02PCD	Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)
OHX02PCL	Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX02PCM	Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX02PCP	Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX02PCS	Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX03CJA	Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)
OHX03CJD	Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm)
OHX03CJL	Loss of Attachment: Upper right 1st molar (1M) mid - lingual - FGM to CEJ measurement (mm)
OHX03CJM	Loss of Attachment:  Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)
OHX03CJP	Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)
OHX03CJS	Loss of Attachment:  Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)
OHX03LAA	Loss of Attachment:  Upper right 1st molar (1M) mesio- lingual - Calculation of :   (FGM to sulcus base measurement) - (FGM to C
OHX03LAD	Loss of Attachment:  Upper right 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur
OHX03LAL	Loss of Attachment:  Upper right 1st molar (1M) mid- lingual - Calculation of :   (FGM to sulcus base measurement) - (FGM to CEJ
OHX03LAM	Loss of Attachment:  Upper right 1st molar (1M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX03LAP	Loss of Attachment:  Upper right 1st molar (1M) distal lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX03LAS	Loss of Attachment:  Upper right 1st molar (1M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 
OHX03PCA	Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX03PCD	Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)
OHX03PCL	Loss of Attachment: Upper right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX03PCM	Loss of Attachment:  Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX03PCP	Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX03PCS	Loss of Attachment:  Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX04CJA	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)
OHX04CJD	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)
OHX04CJL	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid - lingual - FGM to CEJ measurement (mm)
OHX04CJM	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)
OHX04CJP	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)
OHX04CJS	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)
OHX04LAA	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measur
OHX04LAD	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 
OHX04LAL	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of :   (FGM to sulcus base measu
OHX04LAM	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measurem
OHX04LAP	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) distal lingual - Calculation of :  (FGM to CEJ measurement)
OHX04LAS	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of :  (FGM to sulcus base measur
OHX04PCA	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX04PCD	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)
OHX04PCL	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX04PCM	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial mid-facial - FGM to sulcus base (pocket depth) (
OHX04PCP	Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX04PCS	Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial mesio-facial - FGM to sulcus base (pocket dept
OHX05CJA	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm)
OHX05CJD	Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)
OHX05CJL	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm)
OHX05CJM	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)
OHX05CJP	Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm)
OHX05CJS	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)
OHX05LAA	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of:  (FGM to sulcus base measur
OHX05LAD	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 
OHX05LAL	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measure
OHX05LAM	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measurem
OHX05LAP	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement
OHX05LAS	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measur
OHX05PCA	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX05PCD	Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)
OHX05PCL	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX05PCM	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth)(mm)
OHX05PCP	Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX05PCS	Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX06CJA	Loss of Attachment:  Upper right cuspid (C) mesio- lingual - FGM to CEJ measurement (mm)
OHX06CJD	Loss of Attachment: Upper right cuspid (C) distal - FGM to CEJ measurement (mm)
OHX06CJL	Loss of Attachment:  Upper right cuspid (C) mid- lingual - FGM to CEJ measurement (mm)
OHX06CJM	Loss of Attachment:  Upper right cuspid (C) mid-facial - FGM to CEJ measurement (mm)
OHX06CJP	Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to CEJ measurement (mm)
OHX06CJS	Loss of Attachment:  Upper right cuspid (C) mesio-facial - FGM to CEJ measurement (mm)
OHX06LAA	Loss of Attachment:  Upper right cuspid (C) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ meas
OHX06LAD	Loss of Attachment:  Upper right cuspid (C) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measuremen
OHX06LAL	Loss of Attachment:  Upper right cuspid (C) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measu
OHX06LAM	Loss of Attachment:  Upper right cuspid (C) mid-facial - Level of attachment calculation of :  (FGM to sulcus base measurement) 
OHX06LAP	Loss of Attachment:  Upper right cuspid (C) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus base m
OHX06LAS	Loss of Attachment:  Upper right cuspid (C) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ meas
OHX06PCA	Loss of Attachment:  Upper right cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX06PCD	Loss of Attachment: Upper right cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)
OHX06PCL	Loss of Attachment:  Upper right cuspid (C) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX06PCM	Loss of Attachment:  Upper right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX06PCP	Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX06PCS	Loss of Attachment:  Upper right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX07CJA	Loss of Attachment:  Upper right lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm)
OHX07CJD	Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to CEJ measurement (mm)
OHX07CJL	Loss of Attachment:  Upper right lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm)
OHX07CJM	Loss of Attachment:  Upper right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)
