Variable.Name	Variable.Description	Code.or.Value	Value.Description
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	S	Sound permanent tooth
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	U	Unerupted
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	X	Missing due to other causes, but replaced  by a fixed restoration
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	Y	Tooth present, condition cannot be assessed
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	Z	Permanent tooth with surface condition (s)
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	< blank >	Missing
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	Dental Sealants:  #2	Value was recorded
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	0	Sealant not present
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	1	Occlusal sealant on permanent tooth
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	2	Facial sealant on permanent tooth
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	3	Lingual sealant on permanent tooth
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	4	Occlusal sealant on primary tooth
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	9	Cannot be assessed
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.	< blank >	Missing
"These values can be recorded as a string variable, for example:""0"","			
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	1	Primary tooth (deciduous) present
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	2	Permanent tooth present
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	3	Dental implant
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	4	Tooth not present
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	5	Permanent dental root fragment present
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	9	Could not assess
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)	.	Missing
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	Coronal Caries:  Surface condition #3	Value was recorded
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	0	Lingual surface caries
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	1	Occlusal/incisal caries
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	2	Facial surface caries
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	3	Mesial caries
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	4	Distal caries
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	5	Lingual surface restoration
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	6	Occlusal/incisal restoration
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	7	Facial surface restoration
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	8	Mesial restoration
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	9	Distal restoration
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"	< blank >	Missing
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	D	Sound primary tooth
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	E	Missing due to dental disease
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	K	Primary tooth with surface condition (s)
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	M	Missing due to other causes
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	S	Sound permanent tooth
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	U	Unerupted
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	Y	Tooth present, condition cannot be assessed
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	Z	Permanent tooth with surface condition (s)
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code	< blank >	Missing
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	Dental Sealants:  #3	Value was recorded
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	0	Sealant not present
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	1	Occlusal sealant on permanent tooth
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	2	Facial sealant on permanent tooth
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	3	Lingual sealant on permanent tooth
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	4	Occlusal sealant on primary tooth
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	9	Cannot be assessed
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.	< blank >	Missing
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	1	Primary tooth (deciduous) present
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	2	Permanent tooth present
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	3	Dental implant
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	4	Tooth not present
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	5	Permanent dental root fragment present
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	9	Could not assess
OHX03TC	Tooth Count:  Upper right 1st molar (1M)	.	Missing
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	Coronal Caries:  Surface condition #4	Value was recorded
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	0	Lingual surface caries
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	1	Occlusal/incisal caries
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	2	Facial surface caries
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	3	Mesial caries
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	4	Distal caries
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	5	Lingual surface restoration
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	6	Occlusal/incisal restoration
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	7	Facial surface restoration
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	8	Mesial restoration
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	9	Distal restoration
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable	< blank >	Missing
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	D	Sound primary tooth
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	E	Missing due to dental disease
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	K	Primary tooth with surface condition (s)
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	M	Missing due to other causes
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	S	Sound permanent tooth
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	U	Unerupted
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	Y	Tooth present, condition cannot be assessed
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	Z	Permanent tooth with surface condition (s)
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code	< blank >	Missing
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	0	Sealant not present
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	1	Occlusal sealant on permanent tooth
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	2	Facial sealant on permanent tooth
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	3	Lingual sealant on permanent tooth
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	4	Occlusal sealant on primary tooth
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	9	Cannot be assessed
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.	< blank >	Missing
These values can be recorded as a string vari			
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	1	Primary tooth (deciduous) present
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	2	Permanent tooth present
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	3	Dental implant
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	4	Tooth not present
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	5	Permanent dental root fragment present
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	9	Could not assess
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)	.	Missing
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	Coronal Caries:  Surface condition #5	Value was recorded
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	0	Lingual surface caries
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	1	Occlusal/incisal caries
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	2	Facial surface caries
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	3	Mesial caries
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	4	Distal caries
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	5	Lingual surface restoration
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	6	Occlusal/incisal restoration
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	7	Facial surface restoration
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	8	Mesial restoration
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	9	Distal restoration
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl	< blank >	Missing
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	D	Sound primary tooth
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	E	Missing due to dental disease
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	K	Primary tooth with surface condition (s)
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	M	Missing due to other causes
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	R	Missing due to dental disease,  but replaced by a fixed restoration
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	S	Sound permanent tooth
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	U	Unerupted
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	Y	Tooth present, condition cannot be assessed
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	Z	Permanent tooth with surface condition (s)
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code	< blank >	Missing
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	0	Sealant not present
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	1	Occlusal sealant on permanent tooth
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	2	Facial sealant on permanent tooth
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	3	Lingual sealant on permanent tooth
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	4	Occlusal sealant on primary tooth
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	9	Cannot be assessed
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.	< blank >	Missing
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	1	Primary tooth (deciduous) present
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	2	Permanent tooth present
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	3	Dental implant
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	4	Tooth not present
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	5	Permanent dental root fragment present
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	9	Could not assess
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)	.	Missing
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	Coronal Caries:  Surface condition #6	Value was recorded
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	0	Lingual surface caries
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	2	Facial surface caries
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	3	Mesial caries
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	4	Distal caries
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	5	Lingual surface restoration
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	7	Facial surface restoration
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	8	Mesial restoration
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	9	Distal restoration
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	< blank >	Missing
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	D	Sound primary tooth
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	E	Missing due to dental disease
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	K	Primary tooth with surface condition (s)
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	M	Missing due to other causes
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	R	Missing due to dental disease,  but replaced by a fixed restoration
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	S	Sound permanent tooth
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	U	Unerupted
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	Y	Tooth present, condition cannot be assessed
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	Z	Permanent tooth with surface condition (s)
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code	< blank >	Missing
OHX06TC	Tooth Count:  Upper right cuspid (C)	1	Primary tooth (deciduous) present
OHX06TC	Tooth Count:  Upper right cuspid (C)	2	Permanent tooth present
OHX06TC	Tooth Count:  Upper right cuspid (C)	3	Dental implant
OHX06TC	Tooth Count:  Upper right cuspid (C)	4	Tooth not present
OHX06TC	Tooth Count:  Upper right cuspid (C)	5	Permanent dental root fragment present
OHX06TC	Tooth Count:  Upper right cuspid (C)	9	Could not assess
OHX06TC	Tooth Count:  Upper right cuspid (C)	.	Missing
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	Coronal Caries:  Surface condition #7	Value was recorded
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	0	Lingual surface caries
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	2	Facial surface caries
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	3	Mesial caries
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	4	Distal caries
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	5	Lingual surface restoration
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	7	Facial surface restoration
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	8	Mesial restoration
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	9	Distal restoration
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	< blank >	Missing
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	D	Sound primary tooth
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	E	Missing due to dental disease
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	K	Primary tooth with surface condition (s)
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	M	Missing due to other causes
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	S	Sound permanent tooth
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	U	Unerupted
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	X	Missing due to other causes, but replaced but replaced by a fixed restoration
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	Y	Tooth present, condition cannot be assessed
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	Z	Permanent tooth with surface condition (s)
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code	< blank >	Missing
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	0	Sealant not present
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	1	Occlusal sealant on permanent tooth
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	2	Facial sealant on permanent tooth
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	3	Lingual sealant on permanent tooth
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	4	Occlusal sealant on primary tooth
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	9	Cannot be assessed
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.	< blank >	Missing
These values can be recorded as a string variable, for exampl			
OHX07TC	Tooth Count:  Upper right lateral incisor (LI)	1	Primary tooth (deciduous) present
OHX07TC	Tooth Count:  Upper right lateral incisor (LI)	2	Permanent tooth present
OHX07TC	Tooth Count:  Upper right lateral incisor (LI)	3	Dental implant
OHX07TC	Tooth Count:  Upper right lateral incisor (LI)	4	Tooth not present
OHX07TC	Tooth Count:  Upper right lateral incisor (LI)	5	Permanent dental root fragment present
