Code.or.Value	Value.Description	Variable.Name
6	Occlusal/incisal restoration	OHX15CSC
7	Facial surface restoration	OHX15CSC
8	Mesial restoration	OHX15CSC
9	Distal restoration	OHX15CSC
< blank >	Missing	OHX15CSC
D	Sound primary tooth	OHX15CTC
E	Missing due to dental disease	OHX15CTC
J	Permanent root tip is present but no restorative replacement is present	OHX15CTC
K	Primary tooth with surface condition (s)	OHX15CTC
M	Missing due to other causes	OHX15CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX15CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX15CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX15CTC
S	Sound permanent tooth	OHX15CTC
T	Permanent root tip is present but a restorative replacement is present	OHX15CTC
U	Unerupted	OHX15CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX15CTC
Y	Tooth present, condition cannot be assessed	OHX15CTC
Z	Permanent tooth with surface condition (s)	OHX15CTC
< blank >	Missing	OHX15CTC
Dental Sealants:  #15	Value was recorded	OHX15SE
0	Sealant not present	OHX15SE
1	Occlusal sealant on permanent tooth	OHX15SE
2	Facial sealant on permanent tooth	OHX15SE
3	Lingual sealant on permanent tooth	OHX15SE
4	Occlusal sealant on primary tooth	OHX15SE
9	Cannot be assessed	OHX15SE
< blank >	Missing	OHX15SE
1	Primary tooth (deciduous) present	OHX15TC
2	Permanent tooth present	OHX15TC
3	Dental implant	OHX15TC
4	Tooth not present	OHX15TC
5	Permanent dental root fragment present	OHX15TC
9	Could not assess	OHX15TC
.	Missing	OHX15TC
1	Primary tooth (deciduous) present	OHX16TC
2	Permanent tooth present	OHX16TC
3	Dental implant	OHX16TC
4	Tooth not present	OHX16TC
5	Permanent dental root fragment present	OHX16TC
9	Could not assess	OHX16TC
.	Missing	OHX16TC
1	Primary tooth (deciduous) present	OHX17TC
2	Permanent tooth present	OHX17TC
3	Dental implant	OHX17TC
4	Tooth not present	OHX17TC
5	Permanent dental root fragment present	OHX17TC
9	Could not assess	OHX17TC
.	Missing	OHX17TC
Coronal Caries:  Surface condition #18	Value was recorded	OHX18CSC
0	Lingual surface caries	OHX18CSC
1	Occlusal/incisal caries	OHX18CSC
2	Facial surface caries	OHX18CSC
3	Mesial caries	OHX18CSC
4	Distal caries	OHX18CSC
5	Lingual surface restoration	OHX18CSC
6	Occlusal/incisal restoration	OHX18CSC
7	Facial surface restoration	OHX18CSC
8	Mesial restoration	OHX18CSC
9	Distal restoration	OHX18CSC
< blank >	Missing	OHX18CSC
D	Sound primary tooth	OHX18CTC
E	Missing due to dental disease	OHX18CTC
J	Permanent root tip is present but no restorative replacement is present	OHX18CTC
K	Primary tooth with surface condition (s)	OHX18CTC
M	Missing due to other causes	OHX18CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX18CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX18CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX18CTC
S	Sound permanent tooth	OHX18CTC
T	Permanent root tip is present but a restorative replacement is present	OHX18CTC
U	Unerupted	OHX18CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX18CTC
Y	Tooth present, condition cannot be assessed	OHX18CTC
Z	Permanent tooth with surface condition (s)	OHX18CTC
< blank >	Missing	OHX18CTC
Dental Sealants:  #18	Value was recorded	OHX18SE
0	Sealant not present	OHX18SE
1	Occlusal sealant on permanent tooth	OHX18SE
2	Facial sealant on permanent tooth	OHX18SE
3	Lingual sealant on permanent tooth	OHX18SE
4	Occlusal sealant on primary tooth	OHX18SE
9	Cannot be assessed	OHX18SE
< blank >	Missing	OHX18SE
1	Primary tooth (deciduous) present	OHX18TC
2	Permanent tooth present	OHX18TC
3	Dental implant	OHX18TC
4	Tooth not present	OHX18TC
5	Permanent dental root fragment present	OHX18TC
9	Could not assess	OHX18TC
.	Missing	OHX18TC
Coronal Caries:  Surface condition #19	Value was recorded	OHX19CSC
0	Lingual surface caries	OHX19CSC
1	Occlusal/incisal caries	OHX19CSC
2	Facial surface caries	OHX19CSC
3	Mesial caries	OHX19CSC
4	Distal caries	OHX19CSC
5	Lingual surface restoration	OHX19CSC
6	Occlusal/incisal restoration	OHX19CSC
7	Facial surface restoration	OHX19CSC
8	Mesial restoration	OHX19CSC
9	Distal restoration	OHX19CSC
< blank >	Missing	OHX19CSC
D	Sound primary tooth	OHX19CTC
E	Missing due to dental disease	OHX19CTC
J	Permanent root tip is present but no restorative replacement is present	OHX19CTC
K	Primary tooth with surface condition (s)	OHX19CTC
M	Missing due to other causes	OHX19CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX19CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX19CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX19CTC
S	Sound permanent tooth	OHX19CTC
T	Permanent root tip is present but a restorative replacement is present	OHX19CTC
U	Unerupted	OHX19CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX19CTC
Y	Tooth present, condition cannot be assessed	OHX19CTC
Z	Permanent tooth with surface condition (s)	OHX19CTC
< blank >	Missing	OHX19CTC
Dental Sealants:  #19	Value was recorded	OHX19SE
0	Sealant not present	OHX19SE
1	Occlusal sealant on permanent tooth	OHX19SE
2	Facial sealant on permanent tooth	OHX19SE
3	Lingual sealant on permanent tooth	OHX19SE
4	Occlusal sealant on primary tooth	OHX19SE
9	Cannot be assessed	OHX19SE
< blank >	Missing	OHX19SE
1	Primary tooth (deciduous) present	OHX19TC
2	Permanent tooth present	OHX19TC
3	Dental implant	OHX19TC
4	Tooth not present	OHX19TC
5	Permanent dental root fragment present	OHX19TC
9	Could not assess	OHX19TC
.	Missing	OHX19TC
Coronal Caries:  Surface condition #20	Value was recorded	OHX20CSC
0	Lingual surface caries	OHX20CSC
